OBJECTID,Folder,Image,Object,Confidence,frame_idx,Latitude,Longitude,Photo_Link,Field9,Field10,Field11,Field12,Z
717,,image88.jpg,Lamp_Post,0.349022508,88,31.09914833,29.97834833,C:\Road_Project\inference_data\nan\image88.jpg,,,,,109.3
718,,image89.jpg,Crack,0.211843252,89,31.09912667,29.97834333,C:\Road_Project\inference_data\nan\image89.jpg,,,,,108.9
719,,image90.jpg,Lamp_Post,0.461358279,90,31.09909667,29.97834667,C:\Road_Project\inference_data\nan\image90.jpg,,,,,108.6
720,,image90.jpg,Lamp_Post,0.448592782,90,31.09906,29.978345,C:\Road_Project\inference_data\nan\image90.jpg,,,,,108.6
721,,image90.jpg,Lamp_Post,0.326687068,90,31.09902,29.97834667,C:\Road_Project\inference_data\nan\image90.jpg,,,,,108.8
722,,image90.jpg,Lamp_Post,0.314721912,90,31.098975,29.978345,C:\Road_Project\inference_data\nan\image90.jpg,,,,,109.2
723,,image90.jpg,Lamp_Post,0.297003984,90,31.09893,29.97834333,C:\Road_Project\inference_data\nan\image90.jpg,,,,,109.2
724,,image90.jpg,speed bump,0.223879561,90,31.09888667,29.97833,C:\Road_Project\inference_data\nan\image90.jpg,,,,,108.7
725,,image90.jpg,speed bump,0.204425812,90,31.09884833,29.97831333,C:\Road_Project\inference_data\nan\image90.jpg,,,,,108.3
726,,image91.jpg,Clear,0,91,31.09881,29.97829833,C:\Road_Project\inference_data\nan\image91.jpg,,,,,108
727,,image92.jpg,Lamp_Post,0.580585539,92,31.09878,29.978285,C:\Road_Project\inference_data\nan\image92.jpg,,,,,107.5
728,,image92.jpg,Lamp_Post,0.359866649,92,31.098755,29.97826833,C:\Road_Project\inference_data\nan\image92.jpg,,,,,106.6
729,,image92.jpg,Crack,0.270508617,92,31.09873167,29.97825333,C:\Road_Project\inference_data\nan\image92.jpg,,,,,105.1
730,,image92.jpg,Lamp_Post,0.224988788,92,31.0987,29.97824167,C:\Road_Project\inference_data\nan\image92.jpg,,,,,104.6
731,,image92.jpg,Lamp_Post,0.218867496,92,31.098665,29.978235,C:\Road_Project\inference_data\nan\image92.jpg,,,,,104.3
732,,image93.jpg,Clear,0,93,31.09862333,29.978235,C:\Road_Project\inference_data\nan\image93.jpg,,,,,104.7
733,,image94.jpg,Clear,0,94,31.09859,29.97823167,C:\Road_Project\inference_data\nan\image94.jpg,,,,,104.9
734,,image95.jpg,Clear,0,95,31.09856333,29.97822667,C:\Road_Project\inference_data\nan\image95.jpg,,,,,105.1
735,,image96.jpg,Clear,0,96,31.09853833,29.97822167,C:\Road_Project\inference_data\nan\image96.jpg,,,,,105.4
736,,image97.jpg,Clear,0,97,31.09851833,29.97821333,C:\Road_Project\inference_data\nan\image97.jpg,,,,,104.4
737,,image98.jpg,Clear,0,98,31.09848833,29.978205,C:\Road_Project\inference_data\nan\image98.jpg,,,,,104.6
738,,image99.jpg,Clear,0,99,31.09845,29.97819667,C:\Road_Project\inference_data\nan\image99.jpg,,,,,104.8
739,,image0.jpg,Clear,0,0,31.09840167,29.97818667,C:\Road_Project\inference_data\nan\image0.jpg,,,,,105.4
740,,image1.jpg,Clear,0,1,31.09835167,29.97817833,C:\Road_Project\inference_data\nan\image1.jpg,,,,,105.6
741,,image2.jpg,Crack,0.346823603,2,31.09829833,29.97816667,C:\Road_Project\inference_data\nan\image2.jpg,,,,,106
742,,image2.jpg,Crack,0.21992816,2,31.09824667,29.97815333,C:\Road_Project\inference_data\nan\image2.jpg,,,,,106.5
743,,image3.jpg,Clear,0,3,31.09820833,29.97814333,C:\Road_Project\inference_data\nan\image3.jpg,,,,,107
744,,image4.jpg,Lamp_Post,0.514601588,4,31.09818,29.97813833,C:\Road_Project\inference_data\nan\image4.jpg,,,,,107.5
745,,image4.jpg,Lamp_Post,0.467836827,4,31.09815333,29.97813,C:\Road_Project\inference_data\nan\image4.jpg,,,,,107.6
746,,image4.jpg,speed bump,0.377618194,4,31.09811833,29.97812167,C:\Road_Project\inference_data\nan\image4.jpg,,,,,107.4
747,,image4.jpg,Lamp_Post,0.329373509,4,31.09806667,29.97811167,C:\Road_Project\inference_data\nan\image4.jpg,,,,,107.5
748,,image4.jpg,Lamp_Post,0.314664721,4,31.09799833,29.97810333,C:\Road_Project\inference_data\nan\image4.jpg,,,,,107.5
749,,image4.jpg,speed bump,0.296103358,4,31.09791833,29.97809833,C:\Road_Project\inference_data\nan\image4.jpg,,,,,107.7
750,,image4.jpg,speed bump,0.258423746,4,31.09784,29.97809,C:\Road_Project\inference_data\nan\image4.jpg,,,,,107.7
